Classification,Student_type,WLB_1,WLB_2,WLB_3,WLB_4,WLB_5,WLB_6,WLB_7,WLB_8,WLB_9,WLB_10,WLB_11,Overall_stress,Stress_1,Stress_2,Stress_3,Stress_4,Stress_5,Stress_6,Effects_1,Effects_2,Effects_3,Effects_4,Effects_5,Effects_6,Effects_7,Effects_8,Effects_9,Effects_10,Coping Resources_1,Coping Resources_2,Coping Resources_3,Coping Resources_4,Coping Resources_5,Coping Resources_6,Coping Resources_7,Coping Resources_8,Coping Resources_9,Coping Resources_10,Coping Resources_11,Coping Resources_12,Coping Resources_13,Coping Resources_14,Coping Resources_15,Coping Resources_16,Coping Resources_17,Coping Resources_18,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,Ethnicity,id,ResponseId,WLB_open,Stress_6_TEXT,Stress_open,Effects_open,RU open,Overall_experience,Additional,Race,Race_6_TEXT,Ethnicity_3_TEXT,Age
1,1,2,2,4,2,4,4,3,2,2,2,2,3,6,2,8,2,8,2,4,4,4,4,3,4,4,4,4,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,4,6,3,6,1,5,1,2,36377,R_p5zk2ZzzhNS3eKZ,I feel as though needing to work for financial supports adds on more stress,,Speaking with and spending time with loved ones,,,The need to work and do well in classes takes away from feeling like an actual teenager,,"1,3",,,18
4,1,2,2,2,2,4,3,4,4,2,1,1,4,9,2,8,8,3,2,5,5,4,3,5,5,2,5,4,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,5,5,7,1,3,2,2,35525.96543,R_3rJ2EWBcnBaO3FC,"I wish I didn���t have to work while in school. I would have more time to eat a proper meal, go to the gym, and time to rest. I need to work to pay rent, but it���s just",,I make an attempt to work out at least three times a week to help relieve stress.,,,I don���t have time for things like parties and going out with my friends. It���s harder to have a social life when you don���t have time to han,,5,,,21
1,1,4,3,5,3,4,4,3,5,4,2,4,3,8,10,3,2,2,10,3,4,2,1,1,1,2,1,1,1,2,3,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,6,7,5,7,1,3,2,2,36155,R_1FxbFbSagiasG1r,i think my work-life balance is good and easy to keep track of,,i get all my work done way before is due so i dont have to worry about it,trying to study for 2 exams i have on the same day,no,it has made me work harder on school so i can have more free time after work,no,5,,,18
1,1,4,2,4,3,4,5,4,4,4,4,4,2,3,10,3,10,8,6,4,4,5,4,2,2,2,2,2,3,1,3,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,6,5,6,5,5,2,7,4,5,3,2,36261,R_1nSDQn3I6rrZziJ,i feel like my work life balance is pretty good,relationships and freidnships,give myself personal time to destress,nervousness leading to me not following through on plans or classes/ work,no,"i feel as if i dont have a lot of my plate at the moment, limiting my stress levels so i perform better academically",no,"2,5",,,18
1,1,2,2,4,2,4,4,3,2,2,2,2,3,6,2,8,2,8,2,4,4,4,4,3,4,4,4,4,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,4,6,3,6,1,5,1,2,36377,R_p5zk2ZzzhNS3eKZ,I feel as though needing to work for financial supports adds on more stress,,Speaking with and spending time with loved ones,,,The need to work and do well in classes takes away from feeling like an actual teenager,,"1,3",,,18
1,1,4,2,4,3,4,5,4,4,4,4,4,2,3,10,3,10,8,6,4,4,5,4,2,2,2,2,2,3,1,3,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,6,5,6,5,5,2,7,4,5,3,2,36261,R_1nSDQn3I6rrZziJ,i feel like my work life balance is pretty good,relationships and freidnships,give myself personal time to destress,nervousness leading to me not following through on plans or classes/ work,no,"i feel as if i dont have a lot of my plate at the moment, limiting my stress levels so i perform better academically",no,"2,5",,,18
1,1,5,5,4,4,4,5,5,5,4,3,5,3,8,10,6,10,8,10,3,4,4,2,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,6,4,5,2,5,1,4,3,2,36597,R_OHwlwnxhxE8LrhL,pretty balanced,,going out and enjoying time alone,school can be a stresser but I always push through,no,it hasn't,no,5,,,18
2,1,3,3,5,4,4,4,3,4,4,2,3,3,8,10,6,2,3,10,4,5,5,3,1,4,4,2,4,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,3,6,4,5,4,5,2,4,5,2,36454,R_2v80t8Xp66wCYKZ,"I feel like I have a good system to where I don't get burnt out, and still complete my work. It can be exhausting at time, but the reward outways the negative aspects. It does feel stressful to think about the amount of hours I'm working, consider I have to pay for the next two years still. ",,"I make time to go to open labs, just to get the extra studying it. I try to focus only on work or only on school as to not overwhelm myself. I maintain a schedule or checklist to remind myself of everything I have to do that day.",,"Not really. I also don't know where or what a lot of these resources do, or when they are avaliable ",It's a little stressful know that I have to continue working in order to pay for next year. It's also made it harder to make friends.,,5,,,19
1,1,3,2,4,3,4,4,3,1,3,1,2,4,8,2,6,2,9,2,3,2,4,4,5,1,3,2,3,4,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,4,4,4,5,6,2,5,1,4,3,2,36457,R_3ktvRRlYIVrJnHw,it comes in handy but does add a lot of stress,,listening to music and going to the library to study,,I talk to my academic advisor when necessary.,its definitely made it stressful,none,5,,,18
1,1,3,2,3,2,4,5,4,3,4,2,3,3,8,2,2,2,3,2,2,2,4,1,1,1,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,6,4,7,1,5,5,3,36433,R_1l63XfXOpq309iR,"I am very lucky with where I work. I am able to work and also do my school work at the same time, so I am not very stressed out. If I had a job where I could not do my school work while working then I probably would not have a job. ",home life,I try to study as much as I can so that I do not stress over academics.,Everyday right when I get out of school at 12:50 I drive to work and stay until 8pm. I do not have a lot of time for things outside of school or work.,No,"I am always in class, at home, or at school. I do not have the college experience because I am always busy doing things I have to do. ",No,5,,white,18
1,1,4,2,2,1,3,4,5,4,4,3,2,4,3,10,8,10,3,10,2,4,4,4,2,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,3,5,1,3,1,1,1,2,36381,R_2UYJvOdHFwPbV9y,It could be better,,Take my medication,,I'm not on main campus leaving a lot of these resources unavailable,There has been stress about making enough money to feed myself and get around,,5,,,18
3,1,2,2,4,3,3,3,1,2,3,1,2,4,8,2,6,6,3,10,4,2,3,3,4,2,4,1,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,2,7,5,6,5,7,1,5,2,2,36275,R_3iUdSimsgyfJRrK,It can be overwhelming at times.,,Music,,No,I have been away from work because of college,,3,,,20
1,1,3,2,3,3,4,4,4,4,2,2,2,4,8,3,6,6,3,2,4,5,2,3,4,4,2,5,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,6,2,5,6,7,1,7,3,2,1,2,36347,R_eSaFSA3uB0OvSOB,Could be better,,"To-do lists, exercise, and maintaining relationships ",,,"Not significantly, I just get less sleep than preferred ",,"3,5",,,18
2,1,4,5,4,4,4,4,4,4,4,2,3,2,8,10,6,3,6,10,3,3,3,1,4,2,3,4,3,3,1,3,1,1,1,1,1,1,4,1,1,3,1,2,2,1,1,1,4,5,7,1,3,3,2,1,6,4,3,36199,R_3iqiH1vPNVoZVnC,good,,day planner,sometimes family can be stressful,no,my employer is not good at working with my schedule,no,"1,2,4,5",,,19
1,1,4,2,2,1,3,4,5,4,4,3,2,4,3,10,8,10,3,10,2,4,4,4,2,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,3,5,1,3,1,1,1,2,36381,R_2UYJvOdHFwPbV9y,It could be better,,Take my medication,,I'm not on main campus leaving a lot of these resources unavailable,There has been stress about making enough money to feed myself and get around,,5,,,18
1,1,3,2,3,4,4,3,2,2,2,1,1,5,9,2,9,9,9,9,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,1,2,3,4,5,7,7,3,4,6,1,1,2,36163,R_1Ldon8dZfBv2pFj,never enough time or sleep,life in gen,sleep,depressing,coucling,terrible,no,"5,6",,,18
1,1,1,1,3,2,2,2,1,2,2,1,1,4,9,10,9,3,9,10,4,4,4,4,1,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,4,36265,R_Zr7mvQ21GPtmn5L,Neutral,,"Running 
",,,,,5,,,18
2,1,1,1,2,2,2,2,1,2,2,2,1,5,9,2,8,2,9,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,7,5,5,2,6,1,6,7,1,1,1,35629,R_eeS2hVcQsbrcDZL,Not good,,Going on runs,"n/a
",,,,5,,,19
1,1,4,1,4,5,5,3,4,5,5,2,1,4,8,2,2,8,6,2,5,2,4,4,1,4,2,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,5,2,6,2,4,5,2,36202,R_3KBnGqAgkOu9mYo,I feel I balance my life well but I tend to get stressed out very easily,,I try to stick to certain days to get certain classes done so I don't overwhelm myself and I make sure my work is done before I have fun even if it can be stressful,I am apart of something that takes up a lot of my time which is stressful but it also sets aside time for me to get my work done so it balances out,the library,it has made it stressful but I have good grades so it all is balanced out,"no, thank you!",5,,,18
1,1,2,1,4,3,4,3,1,4,3,1,1,4,8,2,6,8,9,10,4,4,2,3,3,4,5,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,3,4,1,3,2,4,2,36598,R_1gBVbonurBOB3jm,"I feel like my work life balance is okay, but as stated above, school comes first over everything and can be extremely overwhelming and lots of sleep gets lost. ",,"I manage my stress by doing more, sounds counteractive but if I am occupied on something else I don't have time to stress, which probably doesn't help. ",,no,"It has been really stressful, however I have to work to pay for gas and food and school, so I don't have choice to work. ",no,5,,,18
1,1,5,5,1,1,1,4,4,1,2,4,5,5,10,2,10,2,10,2,4,4,1,4,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,6,6,7,6,7,2,1,36255,R_3HYy3HsT5Tde6G6,amazing,gym,music,none,McConnel library,not bad at all,"none
",6,hispanic,,18
1,1,4,4,4,3,4,3,4,5,4,2,3,2,6,3,2,6,6,10,2,3,4,4,1,1,3,4,2,2,1,1,4,3,1,1,1,1,4,1,1,1,1,1,1,1,4,1,5,4,5,3,6,5,7,2,5,1,2,36246,R_31ayLSYFD4LupIp,I feel neutral about my work-life balance,,"communicating with friends/relatives, planner",,,It has helped me to stay organized throughout the school year,,5,,,18
2,1,4,5,4,4,4,4,4,4,4,2,3,2,8,10,6,3,6,10,3,3,3,1,4,2,3,4,3,3,1,3,1,1,1,1,1,1,4,1,1,3,1,2,2,1,1,1,4,5,7,1,3,3,2,1,6,4,3,36199,R_3iqiH1vPNVoZVnC,good,,day planner,sometimes family can be stressful,no,my employer is not good at working with my schedule,no,"1,2,4,5",,,19
2,1,2,2,2,3,3,4,3,2,2,2,2,5,8,10,8,10,9,10,4,5,5,4,4,4,3,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,6,3,6,6,2,3,2,2,36360,R_3iOwDgiWXkfuRfL,"Stressed, overworked, and it makes me more depressed and anxious",,None,"It makes me feel like if I can't get it all done, then I'm not good enough",,"It just brings more stress, but I still try to get all of my school work done. I feel like I could get better grades than B's and C's if I had more time for studying.",,5,,,22
1,1,4,4,4,2,4,3,2,4,4,2,2,3,6,10,3,6,6,6,4,5,4,4,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2,6,6,2,5,3,2,2,2,36223,R_3HC83DaTlmtyVZE,"I am a lot more focused on school, but working on my work-life balance and trying to do school and fun things",,My calendar and planner to help me manage both my school and personal lives,"I miss out on time and events with friends, family, and other school-wide events due to working on school, then try to compensate by not doing much school work later",,I feel like I haven���t really had time to experience college since I���m always in my dorm studying or do,"I would like to put myself out there more and make more friends, but there���s time later fo","2,5",,,18
1,1,4,4,4,3,4,4,4,3,3,4,4,3,6,2,6,10,6,10,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,3,2,6,3,2,4,2,1,2,1,2,36341,R_2Cv3s5u5YjOmuwJ,Great,,Time Management,,No,no,no,3,,,18
5,1,4,2,4,2,4,3,4,4,4,4,5,3,8,2,3,3,6,2,2,3,4,4,1,3,2,4,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,6,5,7,2,7,5,5,6,2,36416.12027,R_3J4dqhFP0uXUHvn,I have learned to balance it with ease,,The gym is a great way to release stress for me,,,No,,5,,,23
1,1,5,5,4,4,4,3,4,4,4,2,2,4,8,2,6,3,8,2,4,3,5,4,3,1,4,4,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,7,4,6,6,6,5,5,3,2,3,2,36304,R_110ko0hofowX9c1,I think it is a good balance and that I can handle it,,I talk to my mom a lot and try to time manage well so I can be succesfull,I would say serious exams and just maintaining life,Not really I kind of just stay in my room and study,I think it has showed me what college is really like and what to expect.,Study hard and use more resources than I have,5,,,18
1,1,5,5,4,4,4,5,5,5,4,3,5,3,8,10,6,10,8,10,3,4,4,2,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,6,4,5,2,5,1,4,3,2,36597,R_OHwlwnxhxE8LrhL,pretty balanced,,going out and enjoying time alone,school can be a stresser but I always push through,no,it hasn't,no,5,,,18
2,1,3,2,3,2,3,1,1,4,3,1,1,4,9,10,2,6,9,10,5,5,5,5,5,4,5,5,5,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,5,7,7,3,7,5,2,7,2,36143,R_1q4DUrQbFr7We6w,"At the moment, my work-life balance is all over the place. I try to make time for the people and things I love, but school has started to become more and more demanding that I don't even have time to care for myself.",,I try to plan ahead and make time for things. Whether that be a specific time or a timeslot for school and personal life.,,"No, not at the moment.",It has made doing my schoolwork very difficult. It makes me want to give up and find an alternative. I try to at least care for myself and make time with friends occasionally. My health is most important.,No.,3,,,19
1,1,5,5,4,4,4,3,4,4,4,2,2,4,8,2,6,3,8,2,4,3,5,4,3,1,4,4,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,7,4,6,6,6,5,5,3,2,3,2,36304,R_110ko0hofowX9c1,I think it is a good balance and that I can handle it,,I talk to my mom a lot and try to time manage well so I can be succesfull,I would say serious exams and just maintaining life,Not really I kind of just stay in my room and study,I think it has showed me what college is really like and what to expect.,Study hard and use more resources than I have,5,,,18
1,1,4,4,4,4,4,3,3,4,4,2,3,3,8,2,3,2,2,2,3,2,3,3,1,2,2,2,2,4,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,6,5,6,5,6,5,6,2,6,2,2,36420,R_33d637kj0vjXCbD,Flexible,,Taking multiple breaks when needed because in order to get things done or get by stressful days mental health need to be relaxed.,I get severe migraines,no,not at all because it provides me a flexible schedule,no,6,middle-eastern,,18
1,1,4,4,4,4,4,3,3,4,4,2,3,3,8,2,3,2,2,2,3,2,3,3,1,2,2,2,2,4,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,6,5,6,5,6,5,6,2,6,2,2,36420,R_33d637kj0vjXCbD,Flexible,,Taking multiple breaks when needed because in order to get things done or get by stressful days mental health need to be relaxed.,I get severe migraines,no,not at all because it provides me a flexible schedule,no,6,middle-eastern,,18
1,1,3,1,2,1,2,3,4,2,2,4,1,5,9,10,9,2,2,10,5,4,4,4,3,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,6,4,6,2,2,2,2,36221,R_11aLVyIKZGISYp8,"I work two jobs and I'm enrolled in 6 classes, it's overwhelming. ",,"





going home",,,no time for friends or sleep,,5,,,18
1,1,2,2,3,4,4,2,4,4,5,3,4,2,8,10,3,3,2,10,4,3,5,5,4,2,4,2,4,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,6,3,5,5,4,3,5,4,2,36491,R_SJYQ16OhcE8cuml,"I have a pretty mundane life so it's quite simple to maintain a balance. However, if I were to do literally one more thing then I'd probably start slipping. ",,I just kind of let it linger until I don't feel stressed anymore,,,"I pretty much only work when I go home. That's maybe once a month if not every other month. My work doesn't affect my college experience at all. Now as for school work, I spend most of my day turning in assignments and trying to meet deadlines so I don't spend much time doing anything else unless it's after 10pm.",,3,,,18
1,1,5,5,1,1,1,4,4,1,2,4,5,5,10,2,10,2,10,2,4,4,1,4,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,6,6,7,6,7,2,1,36255,R_3HYy3HsT5Tde6G6,amazing,gym,music,none,McConnel library,not bad at all,"none
",6,hispanic,,18
2,1,2,3,3,4,4,2,2,4,4,2,2,3,8,2,6,3,8,10,3,3,4,4,4,3,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,2,4,2,2,36210,R_Qbo5MpXIAqxADhn,good,,sleep,hard time sleeping,no,not much,no,5,,,19
1,1,4,3,4,4,4,3,4,4,4,4,3,3,8,10,6,10,8,10,4,2,3,4,2,2,4,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,6,5,4,5,5,2,5,2,2,36137,R_2RXktcirWN9gylB,"I think it's taken a while for me to figure it out, and there are still certain instances where I may get extremely stressed, loose sleep or have to sacrifice personal commitments, but overall, I think I'm in a good balancing spot currently. ",,"Talking to family/close friends, journaling, etc.",I think my main one is just being anxious,No,It's probably made it a little bit more stressful but not a ton by any means.,,5,,,18
1,1,4,2,5,3,4,5,2,2,4,1,1,4,8,2,6,6,2,10,4,4,4,2,1,4,4,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,7,5,6,4,7,2,4,3,2,36121,R_3ey4smjccYbbDj0,I currently have three part time jobs and am also a full-time student. It is difficult to manage both school and work but I manage. I enjoy spending time studying because I've found a major that I love and it's interesting to me but I often give up time with family and friends for studying.,,"I try to plan everything out ahead of time and try to manage my time efficiently all the time to give myself time to do assignments, work, and study in my ""free time""",There are no more effects that are prominent enough to mention other than the ones listed above.,,"I feel like the academic side of my college experience has been amazing, most of my professors are great and seem to care about their students and they're willing to give help when needed. I do feel like my social life has been affected by spending all of my time studying when I am not working. ",,5,,,18
1,1,3,2,3,2,4,5,4,3,4,2,3,3,8,2,2,2,3,2,2,2,4,1,1,1,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,6,4,7,1,5,5,3,36433,R_1l63XfXOpq309iR,"I am very lucky with where I work. I am able to work and also do my school work at the same time, so I am not very stressed out. If I had a job where I could not do my school work while working then I probably would not have a job. ",home life,I try to study as much as I can so that I do not stress over academics.,Everyday right when I get out of school at 12:50 I drive to work and stay until 8pm. I do not have a lot of time for things outside of school or work.,No,"I am always in class, at home, or at school. I do not have the college experience because I am always busy doing things I have to do. ",No,5,,white,18
1,1,3,1,2,1,2,3,4,2,2,4,1,5,9,10,9,2,2,10,5,4,4,4,3,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,6,4,6,2,2,2,2,36221,R_11aLVyIKZGISYp8,"I work two jobs and I'm enrolled in 6 classes, it's overwhelming. ",,"





going home",,,no time for friends or sleep,,5,,,18
1,1,3,2,3,3,4,4,4,4,2,2,2,4,8,3,6,6,3,2,4,5,2,3,4,4,2,5,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,6,2,5,6,7,1,7,3,2,1,2,36347,R_eSaFSA3uB0OvSOB,Could be better,,"To-do lists, exercise, and maintaining relationships ",,,"Not significantly, I just get less sleep than preferred ",,"3,5",,,18
1,1,1,1,1,2,1,2,1,2,2,1,1,5,9,10,6,10,9,8,5,5,4,5,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,7,6,2,7,6,1,1,1,36458,R_2YJqhGxqAdZzokx,"It's a constant struggle of migraines and stress, I wish I could work less but I can't afford it.",Self health,"I talk to myself about hyperfixations and stuff I like, I also daydream happy things, it's lonely but it seems to calm me down.","I've been giving myself stress headaches, I'm constantly tired and blacking out more from mental exhaustion, and I only eat once a day because I've found it inconvenient and a waste of time.","I don't use any of them, although I feel that I need to really badly, I don't have the time for it.","I've been tired, no time to enjoy anything anymore.",Working and school is hard.,"3,5,6",African-Puerto rican,,18
1,1,4,2,2,1,3,4,5,4,4,3,2,4,3,10,8,10,3,10,2,4,4,4,2,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,3,5,1,3,1,1,1,2,36381,R_2UYJvOdHFwPbV9y,It could be better,,Take my medication,,I'm not on main campus leaving a lot of these resources unavailable,There has been stress about making enough money to feed myself and get around,,5,,,18
2,1,4,3,5,3,4,3,2,3,4,2,3,2,9,10,3,10,3,10,3,2,4,3,3,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,6,4,3,6,4,1,4,5,2,36380,R_3frdbt36M8aNPxQ,"I feel neutral, it isn't too stressful",,the gym,,,no,,5,,,18
1,1,3,2,4,3,4,4,3,1,3,1,2,4,8,2,6,2,9,2,3,2,4,4,5,1,3,2,3,4,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,4,4,4,5,6,2,5,1,4,3,2,36457,R_3ktvRRlYIVrJnHw,it comes in handy but does add a lot of stress,,listening to music and going to the library to study,,I talk to my academic advisor when necessary.,its definitely made it stressful,none,5,,,18
1,1,4,4,4,4,4,3,3,4,4,2,3,3,8,2,3,2,2,2,3,2,3,3,1,2,2,2,2,4,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,6,5,6,5,6,5,6,2,6,2,2,36420,R_33d637kj0vjXCbD,Flexible,,Taking multiple breaks when needed because in order to get things done or get by stressful days mental health need to be relaxed.,I get severe migraines,no,not at all because it provides me a flexible schedule,no,6,middle-eastern,,18
1,1,4,4,4,2,4,3,2,4,4,2,2,3,6,10,3,6,6,6,4,5,4,4,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2,6,6,2,5,3,2,2,2,36223,R_3HC83DaTlmtyVZE,"I am a lot more focused on school, but working on my work-life balance and trying to do school and fun things",,My calendar and planner to help me manage both my school and personal lives,"I miss out on time and events with friends, family, and other school-wide events due to working on school, then try to compensate by not doing much school work later",,I feel like I haven���t really had time to experience college since I���m always in my dorm studying or do,"I would like to put myself out there more and make more friends, but there���s time later fo","2,5",,,18
2,1,2,3,4,3,4,3,2,4,4,3,2,3,8,10,8,10,6,10,4,3,4,4,3,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,6,5,4,5,3,5,3,2,36375,R_80WOPL88yh9BtlL,"It can improve, but it's not bad! ",,Winding down with creative time.,Poor sleep.,No.,Taught me to be more wise with my time.,No.,5,,,20
2,1,4,3,4,3,4,4,4,4,4,4,5,3,8,2,6,8,6,10,2,4,4,4,1,5,4,2,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,7,6,5,1,5,1,5,7,2,37110.7669,R_2ty78QjeAx26PGt,"I feel that it is hard at times but also easy at other times. It���s not for everyone, I have always had a job and school therefore, I do not find it too",,"Time management, a calendar, and a journal/sticky notes. I like to see everything i have for my class, work schedule, and sorority events on a calendar white board so i know what i have going on each day. Another thing that helps me is having sticky notes on my mac book to see what assignments i have each week in all my classes.",I just feel burnt out at the end of days,,It has made me more social and gives me reasons to leave my room along with feeling more financially stable.,nope!,5,,,19
5,1,4,2,4,2,4,3,4,4,4,4,5,3,8,2,3,3,6,2,2,3,4,4,1,3,2,4,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,6,5,7,2,7,5,5,6,2,36416.12027,R_3J4dqhFP0uXUHvn,I have learned to balance it with ease,,The gym is a great way to release stress for me,,,No,,5,,,23
1,1,2,2,3,4,4,2,4,4,5,3,4,2,8,10,3,3,2,10,4,3,5,5,4,2,4,2,4,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,6,3,5,5,4,3,5,4,2,36491,R_SJYQ16OhcE8cuml,"I have a pretty mundane life so it's quite simple to maintain a balance. However, if I were to do literally one more thing then I'd probably start slipping. ",,I just kind of let it linger until I don't feel stressed anymore,,,"I pretty much only work when I go home. That's maybe once a month if not every other month. My work doesn't affect my college experience at all. Now as for school work, I spend most of my day turning in assignments and trying to meet deadlines so I don't spend much time doing anything else unless it's after 10pm.",,3,,,18
3,1,2,2,4,3,3,3,1,2,3,1,2,4,8,2,6,6,3,10,4,2,3,3,4,2,4,1,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,2,7,5,6,5,7,1,5,2,2,36275,R_3iUdSimsgyfJRrK,It can be overwhelming at times.,,Music,,No,I have been away from work because of college,,3,,,20
2,1,1,1,2,1,1,5,1,1,2,1,1,5,9,2,6,2,9,10,5,5,5,5,3,5,5,5,5,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,7,7,7,1,4,2,2,36249,R_3r0VAf4SgiVkOe0,I am very stressed,,working out and walking,,the gym,I am just struggling to find the balance. School is very demanding.,,5,,,19
1,1,4,4,4,3,4,4,4,3,3,4,4,3,6,2,6,10,6,10,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,3,2,6,3,2,4,2,1,2,1,2,36341,R_2Cv3s5u5YjOmuwJ,Great,,Time Management,,No,no,no,3,,,18
2,1,4,5,4,4,4,4,4,4,4,2,3,2,8,10,6,3,6,10,3,3,3,1,4,2,3,4,3,3,1,3,1,1,1,1,1,1,4,1,1,3,1,2,2,1,1,1,4,5,7,1,3,3,2,1,6,4,3,36199,R_3iqiH1vPNVoZVnC,good,,day planner,sometimes family can be stressful,no,my employer is not good at working with my schedule,no,"1,2,4,5",,,19
2,1,2,1,3,1,3,4,1,4,4,1,1,4,9,10,6,3,2,2,5,5,4,4,5,3,5,5,4,5,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,3,7,5,6,2,6,2,7,1,4,35343,R_1mWT7HfKIWkK4u1,"I have 2 job's, so not great ",,smoking,"I never have time to do laundry, or go to the store because of the parking in radford. ",,"It has made it impossible almost to enjoy, because tuition is constantly raised. The school takes any opportunity to take advantage of our money. ",,5,,,21
1,1,4,3,5,4,4,4,3,4,4,3,4,4,9,2,6,2,8,9,5,5,5,5,1,4,3,2,2,4,1,1,1,1,1,1,3,1,1,1,1,1,1,3,4,1,1,1,6,4,7,7,5,2,7,2,3,4,2,36298,R_1onEujBmBRgNcIu,I feel good about it. I feel like I have mananged very well.,Family,I talk to my therapist and I do things to make sure I have a good time.,Anxiety,,A few weeks,,"3,5",,,18
